group,target,index,cov,coef,std_err,t,p>|t|,[0.025,0.975],mse,rss,n_vars,fraction
demographics,fvc,black,Immigrant,-657.29,12.86,-51.12,0.0,-682.49,-632.09,288136.78,45100897038.4,11,24.606278891042773
demographics,fvc,black,HS Graduate,-655.91,12.86,-51.02,0.0,-681.1,-630.71,288000.98,45079641163.6,12,24.764570261868982
demographics,fvc,black,Income Level,-651.71,12.87,-50.63,0.0,-676.94,-626.48,287935.23,45069349581.9,13,25.246326607861796
anthropometrics,fvc,black,Weight,-646.54,12.9,-50.11,0.0,-671.83,-621.25,287871.72,45059408770.99,14,25.839345729000588
anthropometrics,fvc,black,BMI,-650.87,12.9,-50.46,0.0,-676.15,-625.59,287520.33,45004406832.1,15,25.34267787706036
anthropometrics,fvc,black,Hip Circumference,-649.68,12.9,-50.37,0.0,-674.96,-624.4,287428.53,44990037383.64,16,25.479175508425
exposures,fvc,black,Smoke Exposure,-648.82,12.9,-50.31,0.0,-674.1,-623.54,287393.14,44984498019.25,17,25.577820855461614
exposures,fvc,black,PM2.5,-648.09,12.91,-50.19,0.0,-673.4,-622.78,287390.66,44984110772.45,18,25.661554696550848
baseline,fvc,other,Baseline,-444.96,12.84,-34.67,0.0,-470.12,-419.81,396200.36,62015657013.23,0,-0.0
anthropometrics,fvc,other,Height,-305.54,11.26,-27.14,0.0,-327.6,-283.47,303792.55,47551432778.18,8,31.3331535418914
anthropometrics,fvc,other,Waist Circumference,-293.89,10.99,-26.74,0.0,-315.43,-272.35,289435.08,45304114961.9,9,33.95136641495865
anthropometrics,fvc,other,Sit Height,-282.44,10.98,-25.73,0.0,-303.95,-260.92,288299.02,45126292817.22,10,36.524631427544044
demographics,fvc,other,Immigrant,-254.95,11.36,-22.45,0.0,-277.21,-232.69,288136.78,45100897038.4,11,42.702714850773106
demographics,fvc,other,HS Graduate,-255.19,11.36,-22.47,0.0,-277.45,-232.93,288000.98,45079641163.6,12,42.648777418194896
demographics,fvc,other,Income Level,-253.2,11.36,-22.29,0.0,-275.47,-230.94,287935.23,45069349581.9,13,43.096008629989214
anthropometrics,fvc,other,Weight,-252.83,11.36,-22.26,0.0,-275.09,-230.57,287871.72,45059408770.99,14,43.17916217188061
anthropometrics,fvc,other,BMI,-251.91,11.35,-22.19,0.0,-274.15,-229.66,287520.33,45004406832.1,15,43.38592233009709
anthropometrics,fvc,other,Hip Circumference,-251.13,11.35,-22.12,0.0,-273.37,-228.88,287428.53,44990037383.64,16,43.56121898597627
exposures,fvc,other,Smoke Exposure,-250.92,11.35,-22.11,0.0,-273.17,-228.68,287393.14,44984498019.25,17,43.6084142394822
exposures,fvc,other,PM2.5,-250.46,11.36,-22.05,0.0,-272.72,-228.21,287390.66,44984110772.45,18,43.71179431859043
