n_vars,group,target,index,cov,fraction,coef,std_err,t,p,mse
1,anthropometrics,fvc,black,Height,0.6642238799433519,-680.46,23.2,-29.33,1.8991245443376425e-168,250491.3
2,anthropometrics,fvc,black,Waist Circumference,3.03061269178552,-664.25,22.91,-28.99,4.655899648675777e-165,241778.67
3,anthropometrics,fvc,black,Sit Height,12.71806251003635,-597.89,23.82,-25.1,1.7891270412839189e-127,235321.16
4,anthropometrics,fvc,black,Arm Length,10.3983883446957,-613.78,24.02,-25.55,1.1521283777184874e-131,237969.85
5,anthropometrics,fvc,black,BMI,8.704982409015926,-625.38,24.17,-25.87,1.152542518080777e-134,236457.15
6,anthropometrics,fvc,black,Arm Circumference,9.726865301236478,-618.38,24.13,-25.62,2.3281665381175284e-132,235144.97
7,anthropometrics,fvc,black,Weight,9.604239354170007,-619.22,24.24,-25.55,1.2802983686411125e-131,236548.41
1,exposures,fvc,black,Smoke Exposure,0.429190814732623,-682.07,27.44,-24.85,2.839926827056051e-125,349160.55
1,sociodemographics,fvc,black,Income:Poverty,2.399964964015115,-668.57,27.36,-24.44,1.7474549031453741e-121,345616.84
2,sociodemographics,fvc,black,Immigrant,3.9503072947840097,-657.95,27.34,-24.06,3.990485137862679e-118,343041.27
3,sociodemographics,fvc,black,High School Graduate,5.2772952219675595,-648.86,27.41,-23.67,1.2363407828058545e-114,341736.06
4,sociodemographics,fvc,black,Household Size,6.072904045196423,-643.41,27.48,-23.41,2.207421948147993e-112,340905.4
5,sociodemographics,fvc,black,Married,7.445146786178304,-634.01,27.79,-22.82,3.241450954141632e-107,340575.6
6,sociodemographics,fvc,black,Veteran,7.340038831549901,-634.73,27.77,-22.85,1.586219063706128e-107,340117.72
7,sociodemographics,fvc,black,Military Health,7.525437584852769,-633.46,27.78,-22.8,4.177599387176486e-107,339844.13
8,sociodemographics,fvc,black,Private Insurance,7.738573159515918,-632.0,27.79,-22.74,1.5731391900362985e-106,339653.4
9,sociodemographics,fvc,black,Health Insurance,8.211558955343717,-628.76,27.86,-22.57,4.56467105546861e-105,339395.0
10,sociodemographics,fvc,black,English Language,8.659727595217579,-625.69,27.95,-22.39,1.4653345253016133e-103,339197.9
1,baseline,fev1,hispanic,Baseline,0.0,-282.56,18.83,-15.01,2.500191861532629e-49,202871.8
1,anthropometrics,fev1,hispanic,Height,83.38052095130237,-46.96,17.92,-2.62,0.008831324453919077,152480.13
2,anthropometrics,fev1,hispanic,Waist Circumference,87.71942242355605,-34.7,17.87,-1.94,0.05229292260873744,148880.47
3,anthropometrics,fev1,hispanic,Sit Height,90.15076443941109,-27.83,17.53,-1.59,0.11243656708380542,144783.93
4,anthropometrics,fev1,hispanic,BMI,90.50467157417893,-26.83,17.74,-1.51,0.13060061391672328,145790.07
5,anthropometrics,fev1,hispanic,Arm Circumference,91.22664212910533,-24.79,17.68,-1.4,0.16084057120963585,145341.31
6,anthropometrics,fev1,hispanic,Arm Length,92.9006228765572,-20.06,17.67,-1.14,0.25638327202169353,145859.76
7,anthropometrics,fev1,hispanic,Weight,91.16293884484712,-24.97,17.73,-1.41,0.15903101848016873,145625.07
1,exposures,fev1,hispanic,Smoke Exposure,-0.20526613816533978,-283.14,18.83,-15.03,1.7859452148207093e-49,202809.98
1,sociodemographics,fev1,hispanic,Immigrant,27.158833522083807,-205.82,22.24,-9.25,3.7552475626925226e-20,200427.84
2,sociodemographics,fev1,hispanic,Income:Poverty,33.323895809739525,-188.4,22.39,-8.41,5.777083426789471e-17,198743.98
3,sociodemographics,fev1,hispanic,High School Graduate,37.88575877689695,-175.51,22.77,-7.71,1.675193953713613e-14,198206.09
4,sociodemographics,fev1,hispanic,Household Size,40.43389014722537,-168.31,23.0,-7.32,3.12403776979353e-13,197748.51
5,sociodemographics,fev1,hispanic,Married,41.8849093997735,-164.21,22.98,-7.15,1.0955897030215882e-12,197389.34
6,sociodemographics,fev1,hispanic,Veteran,41.177095130237824,-166.21,22.99,-7.23,5.924435407876277e-13,197108.79
7,sociodemographics,fev1,hispanic,Private Insurance,42.92185730464326,-161.28,23.14,-6.97,3.835808236044152e-12,196920.81
8,sociodemographics,fev1,hispanic,Military Health,42.59272366930917,-162.21,23.15,-7.01,2.9123375705197486e-12,196784.85
9,sociodemographics,fev1,hispanic,English Language,39.95965458663647,-169.65,24.42,-6.95,4.474462086904473e-12,196731.09
10,sociodemographics,fev1,hispanic,Health Insurance,40.044592298980746,-169.41,24.42,-6.94,4.8045147349358916e-12,196686.34
1,baseline,fvc,hispanic,Baseline,0.0,-418.13,24.71,-16.92,1.021396301213415e-61,349363.26
1,anthropometrics,fvc,hispanic,Height,79.15959151460072,-87.14,22.97,-3.79,0.0001511130671135682,250491.3
2,anthropometrics,fvc,hispanic,Waist Circumference,83.14160667734915,-70.49,22.78,-3.09,0.00198595843683439,241778.67
3,anthropometrics,fvc,hispanic,Sit Height,85.65039580991558,-60.0,22.34,-2.69,0.007282171851886037,235321.16
4,anthropometrics,fvc,hispanic,Arm Length,86.54007126970082,-56.28,22.44,-2.51,0.012198596095757852,237969.85
5,anthropometrics,fvc,hispanic,BMI,85.93977949441562,-58.79,22.6,-2.6,0.009321990035736107,236457.15
6,anthropometrics,fvc,hispanic,Arm Circumference,86.18850596704374,-57.75,22.49,-2.57,0.010265708971795575,235144.97
7,anthropometrics,fvc,hispanic,Weight,86.52572166551073,-56.34,22.6,-2.49,0.01269723630301232,236548.41
1,exposures,fvc,hispanic,Smoke Exposure,-0.2511180733264801,-419.18,24.71,-16.96,5.7284321757222505e-62,349160.55
1,sociodemographics,fvc,hispanic,Income:Poverty,8.136225575777864,-384.11,25.22,-15.23,1.048602959671715e-50,345616.84
2,sociodemographics,fvc,hispanic,Immigrant,26.467844928610724,-307.46,29.42,-10.45,3.4959529709453503e-25,343041.27
3,sociodemographics,fvc,hispanic,High School Graduate,31.272570731590655,-287.37,29.9,-9.61,1.3551471363476743e-21,341736.06
4,sociodemographics,fvc,hispanic,Household Size,33.51350058594217,-278.0,30.2,-9.21,5.800668839851182e-20,340905.4
5,sociodemographics,fvc,hispanic,Married,34.51558127854973,-273.81,30.19,-9.07,1.9700658064418811e-19,340575.6
6,sociodemographics,fvc,hispanic,Veteran,33.90572310047114,-276.36,30.19,-9.15,9.41633700178467e-20,340117.72
7,sociodemographics,fvc,hispanic,Military Health,33.79092626695047,-276.84,30.19,-9.17,8.021046849839831e-20,339844.13
8,sociodemographics,fvc,hispanic,Private Insurance,35.003467821012606,-271.77,30.41,-8.94,6.4798985950247755e-19,339653.4
9,sociodemographics,fvc,hispanic,Health Insurance,34.96759381053739,-271.92,30.4,-8.94,6.099976238003948e-19,339395.0
10,sociodemographics,fvc,hispanic,English Language,31.561954416090682,-286.16,32.07,-8.92,7.39246949670105e-19,339197.9
1,baseline,fev1,other,Baseline,0.0,-496.6,39.26,-12.65,7.417710098852289e-36,202871.8
1,anthropometrics,fev1,other,Height,41.19814740233589,-292.01,34.62,-8.43,4.894143176279514e-17,152480.13
2,anthropometrics,fev1,other,Waist Circumference,37.933950865888036,-308.22,34.31,-8.98,4.2439617220998816e-19,148880.47
3,anthropometrics,fev1,other,Sit Height,37.492952074103904,-310.41,33.82,-9.18,7.50540548909477e-20,144783.93
4,anthropometrics,fev1,other,BMI,40.70479258960935,-294.46,34.01,-8.66,7.408614750106241e-18,145790.07
5,anthropometrics,fev1,other,Arm Circumference,40.70680628272252,-294.45,33.97,-8.67,6.771591336833149e-18,145341.31
6,anthropometrics,fev1,other,Arm Length,38.41119613370922,-305.85,34.18,-8.95,5.83810025385634e-19,145859.76
7,anthropometrics,fev1,other,Weight,40.9464357631897,-293.26,34.1,-8.6,1.208954778784378e-17,145625.07
1,exposures,fev1,other,Smoke Exposure,0.146999597261381,-495.87,39.27,-12.63,9.542113840761989e-36,202809.98
1,sociodemographics,fev1,other,Immigrant,21.598872331856636,-389.34,42.49,-9.16,8.564183424286941e-20,200427.84
2,sociodemographics,fev1,other,Income:Poverty,23.501812323801857,-379.89,42.35,-8.97,4.859416503758883e-19,198743.98
3,sociodemographics,fev1,other,High School Graduate,23.966975432944025,-377.58,42.31,-8.92,7.24466174392297e-19,198206.09
4,sociodemographics,fev1,other,Household Size,24.347563431333068,-375.69,42.3,-8.88,1.0612419805163676e-18,197748.51
5,sociodemographics,fev1,other,Married,24.863068868304477,-373.13,42.26,-8.83,1.6521075375583027e-18,197389.34
6,sociodemographics,fev1,other,Veteran,24.631494160289982,-374.28,42.23,-8.86,1.2545554829729433e-18,197108.79
7,sociodemographics,fev1,other,Private Insurance,25.777285541683458,-368.59,42.34,-8.71,4.897637648012282e-18,196920.81
8,sociodemographics,fev1,other,Military Health,25.924285138944825,-367.86,42.34,-8.69,5.6223659111536106e-18,196784.85
9,sociodemographics,fev1,other,English Language,25.628272251308907,-369.33,42.36,-8.72,4.385810665436031e-18,196731.09
10,sociodemographics,fev1,other,Health Insurance,26.04712041884817,-367.25,42.43,-8.65,7.556339699066329e-18,196686.34
1,baseline,fvc,other,Baseline,0.0,-688.4,51.52,-13.36,1.0371524190706222e-39,349363.26
1,anthropometrics,fvc,other,Height,41.69378268448577,-401.38,44.38,-9.04,2.479828709179599e-19,250491.3
2,anthropometrics,fvc,other,Waist Circumference,38.15368971528181,-425.75,43.72,-9.74,4.040018052898244e-22,241778.67
3,anthropometrics,fvc,other,Sit Height,37.62492736780941,-429.39,43.12,-9.96,4.838658250694088e-23,235321.16
4,anthropometrics,fvc,other,Arm Length,38.23939570017431,-425.16,43.61,-9.75,3.6983023024080818e-22,237969.85
5,anthropometrics,fvc,other,BMI,41.32481115630447,-403.92,43.36,-9.32,2.1464456519924364e-20,236457.15
6,anthropometrics,fvc,other,Arm Circumference,41.809994189424756,-400.58,43.26,-9.26,3.5448385491736905e-20,235144.97
7,anthropometrics,fvc,other,Weight,41.330621731551425,-403.88,43.46,-9.29,2.632155388609196e-20,236548.41
1,exposures,fvc,other,Smoke Exposure,0.19174898314932254,-687.08,51.52,-13.34,1.4464961200950078e-39,349160.55
1,sociodemographics,fvc,other,Income:Poverty,3.6926205694363685,-662.98,51.43,-12.89,3.769060270223313e-37,345616.84
2,sociodemographics,fvc,other,Immigrant,19.48431144683324,-554.27,55.64,-9.96,4.713860807286554e-23,343041.27
3,sociodemographics,fvc,other,High School Graduate,20.005810575246954,-550.68,55.56,-9.91,7.583838454196371e-23,341736.06
4,sociodemographics,fvc,other,Household Size,20.242591516560143,-549.05,55.54,-9.89,9.877129327428224e-23,340905.4
5,sociodemographics,fvc,other,Married,20.781522370714693,-545.34,55.5,-9.83,1.7621310301227991e-22,340575.6
6,sociodemographics,fvc,other,Veteran,20.567983730389315,-546.81,55.48,-9.86,1.3085768682014347e-22,340117.72
7,sociodemographics,fvc,other,Military Health,20.855607205113298,-544.83,55.48,-9.82,1.844992551039809e-22,339844.13
8,sociodemographics,fvc,other,Private Insurance,21.66327716443928,-539.27,55.62,-9.7,6.1016116451852665e-22,339653.4
9,sociodemographics,fvc,other,Health Insurance,22.369262056943636,-534.41,55.69,-9.6,1.5685942739425426e-21,339395.0
10,sociodemographics,fvc,other,English Language,21.93346891342243,-537.41,55.72,-9.64,9.963290242741455e-22,339197.9
