n_vars,group,target,index,cov,fraction,coef,std_err,t,p,mse
19,exposures,fev1,asian,PM2.5 10,36.65326526833655,-478.99,8.58,-55.84,0.0,173940.96
1,baseline,fev1,black,Baseline,0.0,-629.37,10.83,-58.09,0.0,225987.85
1,anthropometrics,fev1,black,Height,9.989354433798878,-566.5,9.66,-58.63,0.0,179531.44
2,anthropometrics,fev1,black,Waist Circumference,12.954224065335172,-547.84,9.53,-57.46,0.0,174397.32
3,anthropometrics,fev1,black,Sit Height,18.17690706579595,-514.97,9.63,-53.5,0.0,174061.68
4,sociodemographics,fev1,black,Income Level,19.141363585808037,-508.9,9.64,-52.79,0.0,174398.62
5,exposures,fev1,black,Work Air,19.481386148052817,-506.76,9.64,-52.57,0.0,174301.35
6,sociodemographics,fev1,black,Immigrant,23.879434990546105,-479.08,10.2,-46.97,0.0,174218.58
7,sociodemographics,fev1,black,High School Graduate,23.844479400034956,-479.3,10.2,-46.99,0.0,174155.38
8,exposures,fev1,black,PM10,24.31161320050209,-476.36,10.21,-46.67,0.0,174094.73
9,anthropometrics,fev1,black,BMI,23.226401004178783,-483.19,10.22,-47.26,0.0,173723.79
10,anthropometrics,fev1,black,Weight,23.31378998045665,-482.64,10.23,-47.19,0.0,173837.32
11,exposures,fev1,black,Work Exhaust,23.677645899868118,-480.35,10.23,-46.96,0.0,173962.23
12,exposures,fev1,black,Smoke Exposure,23.666523666523663,-480.42,10.23,-46.97,0.0,173957.19
13,exposures,fev1,black,Work Breathing Problems,23.668112557001443,-480.41,10.23,-46.96,0.0,173954.43
14,exposures,fev1,black,PM2.5,23.69830147607925,-480.22,10.23,-46.92,0.0,173941.06
15,sociodemographics,fev1,black,Income:Poverty,23.688768133212584,-480.28,10.23,-46.93,0.0,173954.09
16,exposures,fev1,black,Work Fumes,23.688768133212584,-480.28,10.23,-46.93,0.0,173954.06
17,anthropometrics,fev1,black,Hip Circumference,23.502867947312396,-481.45,10.24,-47.03,0.0,173898.34
18,sociodemographics,fev1,black,Veteran,23.69035702369036,-480.27,10.24,-46.92,0.0,173954.06
19,exposures,fev1,black,PM2.5 10,23.69671258560147,-480.23,10.24,-46.92,0.0,173940.96
1,baseline,fev1,other,Baseline,0.0,-315.95,9.96,-31.74,2.8729204565245517e-220,225987.85
1,anthropometrics,fev1,other,Height,29.381231207469533,-223.12,8.89,-25.1,9.292360758458873e-139,179531.44
2,anthropometrics,fev1,other,Waist Circumference,32.1696470960595,-214.31,8.76,-24.46,6.776698627117456e-132,174397.32
3,anthropometrics,fev1,other,Sit Height,34.236429814844115,-207.78,8.76,-23.72,4.345465698927309e-124,174061.68
4,sociodemographics,fev1,other,Income Level,35.530938439626524,-203.69,8.77,-23.23,4.1378230941619833e-119,174398.62
5,exposures,fev1,other,Work Air,35.87909479347998,-202.59,8.77,-23.1,6.894474721433755e-118,174301.35
6,sociodemographics,fev1,other,Immigrant,42.12375375850609,-182.86,9.08,-20.13,5.595013622039969e-90,174218.58
7,sociodemographics,fev1,other,High School Graduate,41.933850292767836,-183.46,9.08,-20.2,1.3783710933498983e-90,174155.38
8,exposures,fev1,other,PM10,42.4307643614496,-181.89,9.09,-20.02,4.9654512191449894e-89,174094.73
9,anthropometrics,fev1,other,BMI,42.263016300047475,-182.42,9.08,-20.1,9.621122708714703e-90,173723.79
10,anthropometrics,fev1,other,Weight,42.573191960753284,-181.44,9.08,-19.99,9.737399887632488e-89,173837.32
11,exposures,fev1,other,Work Exhaust,42.5826871340402,-181.41,9.08,-19.98,1.1938588209006555e-88,173962.23
12,exposures,fev1,other,Smoke Exposure,42.60167748061402,-181.35,9.08,-19.97,1.3834842609520057e-88,173957.19
13,exposures,fev1,other,Work Breathing Problems,42.617502769425535,-181.3,9.08,-19.96,1.5218011077888083e-88,173954.43
14,exposures,fev1,other,PM2.5,42.64282323152397,-181.22,9.08,-19.95,2.0557328973819908e-88,173941.06
15,sociodemographics,fev1,other,Income:Poverty,42.65231840481089,-181.19,9.08,-19.94,2.2004605366498166e-88,173954.09
16,exposures,fev1,other,Work Fumes,42.65231840481089,-181.19,9.08,-19.94,2.2071457351844852e-88,173954.06
17,anthropometrics,fev1,other,Hip Circumference,42.766260484253834,-180.83,9.08,-19.91,4.69629182661047e-88,173898.34
18,sociodemographics,fev1,other,Veteran,42.65231840481089,-181.19,9.09,-19.94,2.2859577605125128e-88,173954.06
19,exposures,fev1,other,PM2.5 10,42.64598828928627,-181.21,9.09,-19.95,2.162755494694909e-88,173940.96
1,baseline,fvc,asian,Baseline,0.0,-1003.41,10.69,-93.89,0.0,375999.82
1,anthropometrics,fvc,asian,Height,28.780857276686497,-714.62,9.42,-75.87,0.0,285140.15
2,anthropometrics,fvc,asian,Waist Circumference,30.163143680051025,-700.75,9.2,-76.14,0.0,272565.78
3,anthropometrics,fvc,asian,Sit Height,31.74375379954356,-684.89,9.25,-74.06,0.0,271523.58
4,sociodemographics,fvc,asian,Immigrant,37.83199290419669,-623.8,10.71,-58.27,0.0,272338.43
5,exposures,fvc,asian,Work Air,38.052241855273515,-621.59,10.71,-58.06,0.0,272203.32
6,exposures,fvc,asian,PM10,38.271494204761765,-619.39,10.71,-57.84,0.0,272084.97
7,sociodemographics,fvc,asian,High School Graduate,38.37514076997438,-618.35,10.71,-57.75,0.0,272003.28
8,anthropometrics,fvc,asian,Weight,38.363181550911385,-618.47,10.71,-57.72,0.0,271716.05
9,anthropometrics,fvc,asian,BMI,38.38112037950589,-618.29,10.71,-57.74,0.0,271351.56
10,anthropometrics,fvc,asian,Hip Circumference,38.49772276537009,-617.12,10.71,-57.6,0.0,271569.0
11,sociodemographics,fvc,asian,Income Level,38.56150526703939,-616.48,10.72,-57.53,0.0,271553.28
12,exposures,fvc,asian,Work Exhaust,38.56150526703939,-616.48,10.71,-57.53,0.0,271533.95
13,exposures,fvc,asian,PM2.5,38.51964800031892,-616.9,10.72,-57.57,0.0,271499.65
14,exposures,fvc,asian,Smoke Exposure,38.56349847021656,-616.46,10.71,-57.53,0.0,271516.51
15,exposures,fvc,asian,Work Breathing Problems,38.56648827498231,-616.43,10.71,-57.53,0.0,271515.81
16,exposures,fvc,asian,Work Fumes,38.56648827498231,-616.43,10.71,-57.53,0.0,271515.69
17,sociodemographics,fvc,asian,Income:Poverty,38.56648827498231,-616.43,10.71,-57.53,0.0,271515.65
18,exposures,fvc,asian,PM2.5 10,38.51964800031892,-616.9,10.72,-57.57,0.0,271497.34
19,sociodemographics,fvc,asian,Veteran,38.56648827498231,-616.43,10.71,-57.53,0.0,271515.65
1,baseline,fvc,black,Baseline,0.0,-846.18,13.97,-60.55,0.0,375999.82
1,anthropometrics,fvc,black,Height,10.39376964711999,-758.23,12.18,-62.27,0.0,285140.15
2,anthropometrics,fvc,black,Waist Circumference,14.167198468410977,-726.3,11.92,-60.94,0.0,272565.78
3,anthropometrics,fvc,black,Sit Height,19.442671771963415,-681.66,12.02,-56.7,0.0,271523.58
4,sociodemographics,fvc,black,Immigrant,24.43333569689664,-639.43,12.73,-50.23,0.0,272338.43
5,exposures,fvc,black,Work Air,24.731144673710087,-636.91,12.73,-50.03,0.0,272203.32
6,exposures,fvc,black,PM10,25.239310784939367,-632.61,12.74,-49.65,0.0,272084.97
7,sociodemographics,fvc,black,High School Graduate,25.31139946583469,-632.0,12.74,-49.62,0.0,272003.28
8,anthropometrics,fvc,black,Weight,25.337398662223166,-631.78,12.77,-49.48,0.0,271716.05
9,anthropometrics,fvc,black,BMI,25.06677066345221,-634.07,12.76,-49.69,0.0,271351.56
10,anthropometrics,fvc,black,Hip Circumference,25.493393840554013,-630.46,12.77,-49.39,0.0,271569.0
11,sociodemographics,fvc,black,Income Level,25.97792431870287,-626.36,12.78,-49.0,0.0,271553.28
12,exposures,fvc,black,Work Exhaust,25.98265144531895,-626.32,12.78,-49.0,0.0,271533.95
13,exposures,fvc,black,PM2.5,25.837292301874307,-627.55,12.79,-49.07,0.0,271499.65
14,exposures,fvc,black,Smoke Exposure,25.833746956912233,-627.58,12.79,-49.08,0.0,271516.51
15,exposures,fvc,black,Work Breathing Problems,25.83492873856625,-627.57,12.79,-49.08,0.0,271515.81
16,exposures,fvc,black,Work Fumes,25.83492873856625,-627.57,12.79,-49.08,0.0,271515.69
17,sociodemographics,fvc,black,Income:Poverty,25.837292301874307,-627.55,12.79,-49.07,0.0,271515.65
18,exposures,fvc,black,PM2.5 10,25.83492873856625,-627.57,12.79,-49.07,0.0,271497.34
19,sociodemographics,fvc,black,Veteran,25.837292301874307,-627.55,12.79,-49.07,0.0,271515.65
1,baseline,fvc,other,Baseline,0.0,-429.94,12.84,-33.48,8.122988157001055e-245,375999.82
1,anthropometrics,fvc,other,Height,30.15304461087593,-300.3,11.2,-26.81,6.362389761085264e-158,285140.15
2,anthropometrics,fvc,other,Waist Circumference,33.39535749174303,-286.36,10.95,-26.15,2.3842003114387007e-150,272565.78
3,anthropometrics,fvc,other,Sit Height,35.41424384797879,-277.68,10.94,-25.38,9.589112440550766e-142,271523.58
4,sociodemographics,fvc,other,Immigrant,42.87575010466577,-245.6,11.35,-21.63,1.285249515042876e-103,272338.43
5,exposures,fvc,other,Work Air,43.15485881750942,-244.4,11.35,-21.53,1.153712446765484e-102,272203.32
6,exposures,fvc,other,PM10,43.68981718379309,-242.1,11.35,-21.32,1.0041079002380585e-100,272084.97
7,sociodemographics,fvc,other,High School Graduate,43.62701772340326,-242.37,11.35,-21.35,5.368821891389015e-101,272003.28
8,anthropometrics,fvc,other,Weight,43.83867516397637,-241.46,11.35,-21.28,2.3608588419869145e-100,271716.05
9,anthropometrics,fvc,other,BMI,43.86426012932037,-241.35,11.34,-21.29,2.1434900461874796e-100,271351.56
10,anthropometrics,fvc,other,Hip Circumference,44.17360561938875,-240.02,11.34,-21.16,3.2134918304648e-99,271569.0
11,sociodemographics,fvc,other,Income Level,44.478299297576406,-238.71,11.35,-21.04,4.3304517942452404e-98,271553.28
12,exposures,fvc,other,Work Exhaust,44.47132157975531,-238.74,11.35,-21.04,4.0374036428639214e-98,271533.95
13,exposures,fvc,other,PM2.5,44.273619574824394,-239.59,11.35,-21.11,9.271491958801904e-99,271499.65
14,exposures,fvc,other,Smoke Exposure,44.287575010466576,-239.53,11.35,-21.1,1.053200517192087e-98,271516.51
15,exposures,fvc,other,Work Breathing Problems,44.2922268223473,-239.51,11.35,-21.1,1.0985102160873622e-98,271515.81
16,exposures,fvc,other,Work Fumes,44.2922268223473,-239.51,11.35,-21.1,1.0974541813938441e-98,271515.69
17,sociodemographics,fvc,other,Income:Poverty,44.2922268223473,-239.51,11.35,-21.1,1.090543380252075e-98,271515.65
18,exposures,fvc,other,PM2.5 10,44.28292319858585,-239.55,11.35,-21.1,1.0103972850245661e-98,271497.34
19,sociodemographics,fvc,other,Veteran,44.2922268223473,-239.51,11.35,-21.1,1.0905433802489064e-98,271515.65
