n_vars,group,target,index,cov,fraction,coef,std_err,t,p,mse
22,exposures,fev1,hispanic,Work Air,100.24429687231186,0.71,30.04,0.02,0.9811515052505037,142763.17
24,sociodemographics,fev1,hispanic,Income:Poverty,100.41289612221725,1.2,30.08,0.04,0.9681306125525628,142705.82
25,exposures,fev1,hispanic,Smoke Exposure,100.32343529573684,0.94,30.09,0.03,0.975039581983629,142694.23
28,sociodemographics,fev1,hispanic,Health Insurance,100.3612841069401,1.05,30.27,0.03,0.9722445225475054,142676.95
29,sociodemographics,fev1,hispanic,Private Insurance,100.43698172934658,1.27,30.28,0.04,0.9666005447085607,142664.93
30,sociodemographics,fev1,hispanic,High School Graduate,100.60902178027044,1.77,30.42,0.06,0.9537326148202553,142662.5
1,baseline,fev1,other,Baseline,0.0,-505.28,59.74,-8.46,5.609168690720444e-17,202115.15
8,0,fev1,other,0,42.98606713109563,-288.08,52.31,-5.51,4.183790554407742e-08,150223.97
10,sociodemographics,fev1,other,Immigrant,46.799794173527545,-268.81,54.16,-4.96,7.578390351469462e-07,146420.51
15,sociodemographics,fev1,other,English Language,47.64882837238759,-264.52,53.79,-4.92,9.570370562040067e-07,143672.21
16,sociodemographics,fev1,other,Military Health,47.650807473084235,-264.51,53.76,-4.92,9.444716860797512e-07,143429.42
17,sociodemographics,fev1,other,Veteran,47.38362887903736,-265.86,53.75,-4.95,8.289187904887528e-07,143259.07
20,sociodemographics,fev1,other,Married,47.64289107029765,-264.55,53.74,-4.92,9.332444628051513e-07,142889.44
22,exposures,fev1,other,Work Air,47.387587080430656,-265.84,53.79,-4.94,8.448922494620773e-07,142763.17
24,sociodemographics,fev1,other,Income:Poverty,48.08027232425586,-262.34,53.97,-4.86,1.2749166210742345e-06,142705.82
25,exposures,fev1,other,Smoke Exposure,47.9773590880304,-262.86,54.0,-4.87,1.2319431726982515e-06,142694.23
28,sociodemographics,fev1,other,Health Insurance,47.97537998733375,-262.87,54.05,-4.86,1.2589110179247319e-06,142676.95
29,sociodemographics,fev1,other,Private Insurance,48.345471817606075,-261.0,54.28,-4.81,1.6545173446901203e-06,142664.93
30,sociodemographics,fev1,other,High School Graduate,48.32172260924635,-261.12,54.3,-4.81,1.6508604427869406e-06,142662.5
1,baseline,fvc,asian,Baseline,0.0,-868.17,66.86,-12.99,6.7028514018082715e-37,341916.7
8,0,fvc,asian,0,43.939551009594894,-486.7,57.45,-8.47,5.000163678239311e-17,236976.58
14,sociodemographics,fvc,asian,Immigrant,42.04360897059331,-503.16,62.42,-8.06,1.3841686401200027e-15,221585.52
15,sociodemographics,fvc,asian,English Language,42.70822534757018,-497.39,62.36,-7.98,2.677641818879252e-15,220721.3
16,sociodemographics,fvc,asian,Military Health,42.588433140974686,-498.43,62.32,-8.0,2.277510512554337e-15,220349.81
19,sociodemographics,fvc,asian,Veteran,43.05147609339184,-494.41,62.48,-7.91,4.38867173703907e-15,219582.0
20,exposures,fvc,asian,Work Air,43.43964891668682,-491.04,62.53,-7.85,7.032176983885914e-15,219403.92
22,sociodemographics,fvc,asian,Married,43.05493163781287,-494.38,62.56,-7.9,4.787455799377478e-15,219065.68
23,sociodemographics,fvc,asian,Health Insurance,43.02152804174297,-494.67,62.56,-7.91,4.6214434149059305e-15,218940.51
24,sociodemographics,fvc,asian,Private Insurance,43.19315341465381,-493.18,62.59,-7.88,5.716731611213458e-15,218848.78
28,sociodemographics,fvc,asian,High School Graduate,43.513367197668664,-490.4,62.72,-7.82,9.15756819559051e-15,218676.97
29,sociodemographics,fvc,asian,Income:Poverty,43.466141423914664,-490.81,62.75,-7.82,8.884434007936874e-15,218651.59
30,exposures,fvc,asian,Smoke Exposure,43.46038218321296,-490.86,62.76,-7.82,8.962944507160792e-15,218633.57
1,baseline,fvc,black,Baseline,0.0,-672.65,38.47,-17.49,2.6800611837460093e-63,341916.7
8,0,fvc,black,0,3.029807477885973,-652.27,32.12,-20.3,1.3825867494630992e-82,236976.58
14,sociodemographics,fvc,black,Immigrant,7.586411952724296,-621.62,32.23,-19.29,2.241324314879796e-75,221585.52
15,sociodemographics,fvc,black,English Language,8.401100126365865,-616.14,32.25,-19.11,3.848716007435083e-74,220721.3
16,sociodemographics,fvc,black,Military Health,8.355013751579563,-616.45,32.23,-19.13,2.8216251045982733e-74,220349.81
19,sociodemographics,fvc,black,Veteran,7.576005351966094,-621.69,32.33,-19.23,5.519932021966021e-75,219582.0
20,exposures,fvc,black,Work Air,7.3307069055229235,-623.34,32.35,-19.27,3.1395190049987343e-75,219403.92
22,sociodemographics,fvc,black,Married,7.381253252062734,-623.0,32.65,-19.08,6.3482308078132246e-74,219065.68
23,sociodemographics,fvc,black,Health Insurance,7.292053816992486,-623.6,32.66,-19.09,5.031154106454871e-74,218940.51
24,sociodemographics,fvc,black,Private Insurance,7.504645803909911,-622.17,32.7,-19.02,1.535740571275432e-73,218848.78
28,sociodemographics,fvc,black,High School Graduate,7.76778413736713,-620.4,33.1,-18.74,1.3759798734994388e-71,218676.97
29,sociodemographics,fvc,black,Income:Poverty,7.764810822864791,-620.42,33.11,-18.74,1.4683843261225695e-71,218651.59
30,exposures,fvc,black,Smoke Exposure,7.837657028172159,-619.93,33.14,-18.7,2.496404106029331e-71,218633.57
1,baseline,fvc,hispanic,Baseline,0.0,-438.85,33.28,-13.19,5.955867678388667e-38,341916.7
8,0,fvc,hispanic,0,80.81804716873647,-84.18,30.72,-2.74,0.006208465850794977,236976.58
14,sociodemographics,fvc,hispanic,Immigrant,94.20075196536402,-25.45,35.79,-0.71,0.4772159818405567,221585.52
15,sociodemographics,fvc,hispanic,English Language,88.35365158938133,-51.11,37.04,-1.38,0.16777324653326867,220721.3
16,sociodemographics,fvc,hispanic,Military Health,88.37643841859405,-51.01,37.02,-1.38,0.16842041527067886,220349.81
19,sociodemographics,fvc,hispanic,Veteran,88.78204397858038,-49.23,37.04,-1.33,0.1840306861866225,219582.0
20,exposures,fvc,hispanic,Work Air,88.74102768599751,-49.41,37.04,-1.33,0.18235489673072175,219403.92
22,sociodemographics,fvc,hispanic,Married,88.30352056511337,-51.33,37.14,-1.38,0.16709559862159337,219065.68
23,sociodemographics,fvc,hispanic,Health Insurance,87.88652159052069,-53.16,37.18,-1.43,0.15298281412844433,218940.51
24,sociodemographics,fvc,hispanic,Private Insurance,87.95260339523755,-52.87,37.19,-1.42,0.15527192877502724,218848.78
28,sociodemographics,fvc,hispanic,High School Graduate,88.15996354107327,-51.96,37.6,-1.38,0.16715371139391147,218676.97
29,sociodemographics,fvc,hispanic,Income:Poverty,88.01640651703315,-52.59,37.63,-1.4,0.16243850469441073,218651.59
30,exposures,fvc,hispanic,Smoke Exposure,87.90702973681212,-53.07,37.66,-1.41,0.15896965017024367,218633.57
1,baseline,fvc,other,Baseline,0.0,-698.11,77.7,-8.98,6.4806736033691935e-19,341916.7
8,0,fvc,other,0,44.428528455401015,-387.95,65.7,-5.9,4.224308630547717e-09,236976.58
14,sociodemographics,fvc,other,Immigrant,44.773746257753075,-385.54,66.76,-5.78,9.051806875502042e-09,221585.52
15,sociodemographics,fvc,other,English Language,45.48853332569366,-380.55,66.67,-5.71,1.3385285941181075e-08,220721.3
16,sociodemographics,fvc,other,Military Health,45.48996576470757,-380.54,66.63,-5.71,1.3152350907699477e-08,220349.81
19,sociodemographics,fvc,other,Veteran,46.10304966266062,-376.26,66.74,-5.64,2.001648039018807e-08,219582.0
20,exposures,fvc,other,Work Air,46.25775307616278,-375.18,66.74,-5.62,2.192293516312123e-08,219403.92
22,sociodemographics,fvc,other,Married,45.97985990746444,-377.12,66.77,-5.65,1.889758406235048e-08,219065.68
23,sociodemographics,fvc,other,Health Insurance,45.88961624958817,-377.75,66.77,-5.66,1.7932340325331558e-08,218940.51
24,sociodemographics,fvc,other,Private Insurance,46.66743063414076,-372.32,67.08,-5.55,3.2815221799000026e-08,218848.78
28,sociodemographics,fvc,other,High School Graduate,46.83502599876811,-371.15,67.16,-5.53,3.756641465960269e-08,218676.97
29,sociodemographics,fvc,other,Income:Poverty,46.906647949463554,-370.65,67.18,-5.52,3.962888800009334e-08,218651.59
30,exposures,fvc,other,Smoke Exposure,46.80637721848992,-371.35,67.23,-5.52,3.809625574323011e-08,218633.57
